ID,Course,Semester,Final Grade
122222222,Algorithms,2023B,78
233223222,Calculus 2,2022B,71
212122321,Calculus 2,2020A,94
111332322,Intro to Java,2022B,47
213111321,Calculus 1,2023B,72
313311113,Intro to Java,2020A,69
132323133,Intro to Java,2022B,76
333112131,Linear algebra 2,2019A,88
332323221,Linear algebra 1,2022B,59
121231332,Intro to Java,2018B,65
122123333,Linear algebra 1,2021B,64
232233232,Calculus 2,2019A,63
232311321,Intro to Java,2020A,93
323212212,Calculus 1,2023B,70
233313211,Linear algebra 2,2018B,75
232131321,Calculus 2,2023B,70
213233221,Linear algebra 1,2021B,79
333311313,Calculus 2,2023B,85
123132211,Linear algebra 1,2022B,70
311333232,Calculus 2,2019A,52
321313133,Algorithms,2020A,88
111331211,Linear algebra 2,2020A,66
123313323,Calculus 1,2019A,73
323333312,Linear algebra 2,2022B,73
133122312,Calculus 1,2019A,72
331323111,Intro to Java,2020A,90
121312231,Calculus 2,2023B,60
323333321,Linear algebra 1,2020A,72
211123123,Calculus 1,2020A,49
332233221,Intro to Java,2020A,58
323211212,Linear algebra 1,2023B,59
333121332,Linear algebra 2,2018B,98
133123123,Linear algebra 2,2023B,44
123122131,Calculus 1,2022B,76
131313322,Calculus 2,2021B,100
332112123,Calculus 2,2020A,59
212133112,Calculus 1,2018B,46
232111312,Linear algebra 2,2018B,65
133321122,Linear algebra 2,2023B,28
321113312,Intro to Java,2022B,58
212333131,Calculus 1,2023B,74
131212331,Calculus 1,2022B,78
113131211,Linear algebra 2,2020A,47
313211323,Algorithms,2018B,35
122133122,Calculus 2,2019A,79
312233111,Calculus 2,2022B,49
312221212,Intro to Java,2023B,75
322223333,Calculus 2,2020A,60
332322113,Calculus 2,2022B,72
223133223,Linear algebra 2,2020A,53
233321131,Linear algebra 1,2022B,48
323331213,Linear algebra 2,2023B,64
331222213,Calculus 1,2022B,64
322331122,Intro to Java,2021B,77
113222113,Calculus 1,2021B,81
312132233,Linear algebra 1,2021B,84
222323133,Linear algebra 2,2023B,77
133121111,Algorithms,2023B,81
121331111,Intro to Java,2020A,55
211212112,Linear algebra 1,2020A,82
323212333,Calculus 2,2019A,100
222133332,Linear algebra 1,2020A,68
212233313,Linear algebra 2,2023B,63
321331121,Calculus 2,2020A,49
122332223,Linear algebra 1,2023B,62
132131321,Linear algebra 1,2018B,61
231213112,Calculus 2,2019A,60
312231211,Algorithms,2018B,70
132112311,Calculus 1,2021B,62
332133313,Intro to Java,2021B,61
231233123,Calculus 1,2019A,67
312113121,Algorithms,2019A,52
321333311,Calculus 2,2018B,34
311132112,Linear algebra 1,2018B,61
333321333,Linear algebra 2,2019A,56
121112322,Linear algebra 1,2023B,88
